prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Ciudad Real,13,Almadén,11,13011,2022-07-25,1563.74
Ciudad Real,13,Malagón,52,13052,2022-07-25,1819.05
Huelva,21,Almonte,5,21005,2022-07-26,880.79
Toledo,45,Sevilleja de la Jara,162,45162,2022-07-29,538.5
Ourense,32,Verín,85,32085,2022-08-03,706.76
Pontevedra,36,Caldas de Reis,5,36005,2022-08-04,561.39
A Coruña,15,Boiro,11,15011,2022-08-04,2058.75
Ávila,5,Santa Cruz del Valle,221,5221,2022-08-05,1495.32
León,24,Boca de Huérgano,20,24020,2022-08-07,1154.85
Ourense,32,Carballeda de Valdeorras/Casaio,17,32017,2022-08-09,526.45
Ourense,32,Chandrexa de Queixa,29,32029,2022-08-09,616.22
Ourense,32,Laza/Camba,39,32039,2022-08-09,2828.18
Cáceres,10,Santibañez el Alto,171,10171,2022-08-10,910.36
Ourense,32,O Irixo,35,32035,2022-08-10,508.65
Alicante,3,Vall d' Ebo,135,3135,2022-08-13,10609.05
Zaragoza,50,Añón de Moncayo,30,50030,2022-08-13,5213.16
Castellón,12,Costur,49,12049,2022-08-14,734.51
Castellón/Valencia,12,Bejis,22,12022,2022-08-15,16944.63
Ourense,32,Lobeira,41,32041,2022-08-24,625.2
Granada,18,Los Guajares,906,18906,2022-09-08,4439.63
Vizcaya/Burgos,48,Balmaseda (VI) / Valle de Mena (BU),90,48090,2022-10-23,728
Asturias,33,Belmonte de Miranda,5,33005,2023-03-09,700
Castellón/Teruel,12,Villanueva de Viver/San Agustín,133,12133,2023-03-23,4220.58
Asturias,33,Piloña,49,33049,2023-03-23,552
Lugo,27,Baleira,4,27004,2023-03-28,1590.05
Asturias,33,Ponga,50,33050,2023-03-28,701.4
Asturias,33,Tineo,73,33073,2023-03-29,556.6
Asturias,33,Cangas de Onís,12,33012,2023-03-29,701
Asturias,33,Parres,45,33045,2023-03-29,1078.7
Asturias,33,Piloña,49,33049,2023-03-29,546
Asturias,33,Tineo,73,33073,2023-03-29,725
Asturias,33,Belmonte de Miranda,5,33005,2023-03-31,678.9
Asturias,33,Piloña,49,33049,2023-04-03,500
Asturias,33,Valdés,34,33034,2023-04-05,9750
Asturias,33,Allande,1,33001,2023-04-08,550
Cáceres,10,Pinofranqueado,146,10146,2023-05-17,10470.13
S.C Tenerife,38,Puntagorda,29,38029,2023-07-15,2600
S.C Tenerife,38,Arafo,4,38004,2023-08-15,12529.9
Lugo,27,Trabada,61,27061,2023-10-12,2296.53
Valencia,46,Montitxelvo,175,46175,2023-11-02,2077.18
Cantabria,39,Soba,83,39083,2024-01-26,1715
Almería,40,Enix,41,4041,2024-02-09,580.85
Cantabria,39,Rionansa,63,39063,2024-04-06,592.66
Alicante,31,Tàrbena,27,3127,2024-04-14,543.67
Almería,40,Níjar,66,4066,2024-06-06,2122.19
Badajoz,60,Cabeza del Buey,23,6023,2024-07-05,754.91
Badajoz,60,La Coronada,45,6045,2024-07-19,779.73
Cáceres,10,Talavan,177,10177,2024-07-20,728.55
Badajoz,61,Ribera del Fresno,11,6111,2024-07-24,1138.77
Badajoz,61,Puebla del Maestre,3,6103,2024-07-24,943.8
Ciudad Real,13,Argamasilla de Calatrava,20,13020,2024-07-24,702.05
Cuenca,16,Valverdejo,236,16236,2024-07-30,2226.98
Toledo,45,La Estrella,63,45063,2024-08-06,1829.54
Jaén,23,Andújar,5,23005,2024-08-18,786.88
León,24,Astorga,8,24008,2024-08-19,589.74
Madrid,28,Tres Cantos,903,28903,2024-08-22,528.71
Almería,40,Huércal de Almería,52,4052,2025-05-03,1305
Sevilla,41,Burguillos,19,41019,2025-06-10,1377.07
Cáceres,10,Campo Lugar,44,10044,2025-06-16,836.97
Cáceres,10,Cáceres,37,10037,2025-06-17,1050.66
Badajoz,60,Casas de Don Pedro,33,6033,2025-06-20,761.59
Lleida,25,Torrefeta i Florejacs,223,25223,2025-07-01,1304
Tarragona,43,Paüls,102,43102,2025-07-07,2190
Cáceres,10,Trujillo,195,10195,2025-07-16,837
Toledo,45,Méntrida,101,45101,2025-07-17,1736.73
Ávila,51,Navaluenga,63,5163,2025-07-18,1171.1
Badajoz,61,Valdecaballeros,37,6137,2025-07-19,2368.3
Cáceres,10,Arroyomolinos,20,10020,2025-07-24,675
Ávila,50,Cuevas del Valle,66,5066,2025-07-28,3118.99
Cáceres,10,Caminomorisco,41,10041,2025-07-29,2564.15
Ourense,32,Vilardevós - Terroso,91,32091,2025-08-01,563.62
Badajoz,60,Oliva de Mérida,93,6093,2025-08-04,788
León,24,Páramo del Sil,110,24110,2025-08-08,7159
León,24,Benuza,16,24016,2025-08-08,22258.2
León,24,Villablino,202,24202,2025-08-08,4247.5
León,24,Murias de Paredes,101,24101,2025-08-08,6091.06
Ávila,52,San Bartolomé de Pinares,7,5207,2025-08-08,734.64
Cáceres,10,Aldea del Cano,12,10012,2025-08-08,1233
Ourense,32,Chandrexa de Queixa,29,32029,2025-08-08,6320.29
Ourense,32,Maceda,43,32043,2025-08-09,1856.18
León,24,Puente de Domingo Flórez,122,24122,2025-08-09,3804.06
Ourense,32,Vilariño de Conso,90,32090,2025-08-10,5490
Palencia,34,Cervera de Pisuerga,56,34056,2025-08-10,1269.5
Zamora,49,Molezuelas de la Carballeda,121,49121,2025-08-10,24426
León,24,Villafranca del Bierzo,209,24209,2025-08-10,547.5
Madrid,28,Tres Cantos,903,28903,2025-08-11,1844.95
Toledo,45,Navalmoralejo,108,45108,2025-08-11,2733.78
Zamora,49,Gallegos del Río,87,49087,2025-08-11,4958.8
Ourense,32,Vilardevós,91,32091,2025-08-11,1106.12
Asturias,33,Cabrales,8,33008,2025-08-12,1090
Ourense,32,Maceda,43,32043,2025-08-12,2649.5
Cáceres,10,Arroyo de la Luz,21,10021,2025-08-12,3261
Cáceres,10,Jarilla,106,10106,2025-08-12,16315.06
Ourense,32,Oímbra,53,32053,2025-08-12,22414
